evaluation_id,course_id,author_id,created_at,feedback,grade
46733e77c313bf45,39104442b2660b56,015b84362e18c823,2025-01-25 15:55:48.936467,"Cool!",7.4
f01e256c1051e77a,dc295cc4dd09d5b1,430112d4d154a44f,2025-01-25 15:55:48.936467,"Not a very good course...",2.1
15f1098660f55067,39104442b2660b56,fc9ff6de8851b42d,2025-01-25 15:55:48.936467,"The best course of my life.",10.0
d4f929bff83208a4,39104442b2660b56,437a5ec48076ed5f,2025-01-26 10:14:00.123456,"Informative and engaging!",8.5
c0ab76d1f97c4953,aa1285c87284171a,430112d4d154a44f,2025-01-26 11:32:10.654321,"Great introduction to data science.",9.0
f9cb67a7b2f54c88,bb365cc4dd09d5b1,b793a74d2b46a9e2,2025-01-27 09:01:15.789123,"Could use more examples.",6.5
c1298f8f4b25cce6,dd39104442b2660b,46c544700961563f,2025-01-27 10:45:38.321654,"Very helpful course materials.",8.0
b08a98c5f81479f3,ee74527542b2660b,968c68d2315a8b10,2025-01-28 12:55:25.987654,"The instructor was excellent.",9.5
a3c32b7e3cd87f08,ff1285c87284171a,4637d59c67fa381d,2025-01-28 15:40:55.135790,"I learned a lot!",8.7
c5cdbf30754e2c01,gg365cc4dd09d5b1,46c544700961563f,2025-01-29 08:12:30.654321,"Too much information at once.",5.0
a5e1b7d1b0b74f1f,hh295cc4dd09d5b1,1fc8a832c8b0e7eb,2025-01-29 11:20:20.876543,"Very practical skills taught.",9.2
d8f2c78c6a8b4b28,ii39104442b2660b,2d1315b59416e860,2025-01-30 14:25:18.345678,"A solid overview of SQL.",8.5
f2a49b7c9c5b4e34,jj74527542b2660b,a533406c476523de,2025-01-30 16:10:55.123456,"Interesting topics covered!",8.8
b7d45cfa3d3d8b6e,kk365cc4dd09d5b1,77c348da88fc545f,2025-01-31 10:18:44.456789,"Enjoyed the hands-on activities.",9.0
a6b8e5f0f6e74bba,ll295cc4dd09d5b1,e95ebbd781fabcf6,2025-01-31 12:30:30.987654,"Not enough interaction.",4.5
c9a4f1c7b8b24fbc,mm39104442b2660b,17a2fa4e2eb77044,2025-01-31 14:15:10.111213,"Loved the case studies presented.",9.8
